Start date;End date;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions
Aug 7, 2015;Aug 8, 2015;1,359,287.25;1,110,450.75;20,074.50
Aug 8, 2015;Aug 9, 2015;1,189,120.25;902,978.00;17,208.50
Aug 9, 2015;Aug 10, 2015;1,077,699.75;837,729.00;19,566.00
Aug 10, 2015;Aug 11, 2015;1,349,076.00;1,124,122.75;17,023.00
Aug 11, 2015;Aug 12, 2015;1,389,722.00;1,140,859.25;20,986.00
Aug 12, 2015;Aug 13, 2015;1,387,330.00;1,157,059.50;17,900.50
Aug 13, 2015;Aug 14, 2015;1,393,746.25;1,020,281.25;22,911.00
Aug 14, 2015;Aug 15, 2015;1,370,371.75;1,014,107.00;20,217.75
Aug 15, 2015;Aug 16, 2015;1,153,315.50;961,820.25;15,808.50
Aug 16, 2015;Aug 17, 2015;1,063,923.50;915,808.75;14,798.25
Aug 17, 2015;Aug 18, 2015;1,347,075.75;1,157,738.25;17,220.75
Aug 18, 2015;Aug 19, 2015;1,363,137.75;1,152,690.25;18,572.50
Aug 19, 2015;Aug 20, 2015;1,355,961.00;1,216,129.75;16,611.25
Aug 20, 2015;Aug 21, 2015;1,363,692.50;1,213,758.00;19,616.25
Aug 21, 2015;Aug 22, 2015;1,342,451.75;1,118,226.50;16,712.50
Aug 22, 2015;Aug 23, 2015;1,156,390.25;852,917.00;17,602.00
Aug 23, 2015;Aug 24, 2015;1,069,342.25;601,343.75;28,362.50
Aug 24, 2015;Aug 25, 2015;1,374,361.50;999,599.25;16,206.25
Aug 25, 2015;Aug 26, 2015;1,409,083.50;880,502.75;23,806.00
Aug 26, 2015;Aug 27, 2015;1,411,981.25;947,105.25;22,944.75
Aug 27, 2015;Aug 28, 2015;1,414,906.00;1,056,981.75;15,348.25
Aug 28, 2015;Aug 29, 2015;1,380,512.75;1,182,815.00;16,953.25
Aug 29, 2015;Aug 30, 2015;1,174,553.50;960,396.25;18,114.75
Aug 30, 2015;Aug 31, 2015;1,079,632.25;873,663.50;22,745.00
Aug 31, 2015;Sep 1, 2015;1,395,918.00;1,134,157.50;17,622.50
Sep 1, 2015;Sep 2, 2015;1,435,239.75;1,126,091.25;21,188.75
Sep 2, 2015;Sep 3, 2015;1,410,018.25;1,094,585.00;20,675.50
Sep 3, 2015;Sep 4, 2015;1,400,276.00;1,196,362.00;15,220.25
Sep 4, 2015;Sep 5, 2015;1,384,113.25;1,039,576.25;18,582.75
Sep 5, 2015;Sep 6, 2015;1,188,822.75;656,716.00;22,975.50
Sep 6, 2015;Sep 7, 2015;1,099,124.25;503,110.00;31,857.25
Sep 7, 2015;Sep 8, 2015;1,382,586.75;1,131,447.50;13,007.75
Sep 8, 2015;Sep 9, 2015;1,414,328.00;1,215,129.25;15,636.50
Sep 9, 2015;Sep 10, 2015;1,401,616.00;1,170,376.25;17,623.50
Sep 10, 2015;Sep 11, 2015;1,404,584.00;1,116,194.75;16,647.25
Sep 11, 2015;Sep 12, 2015;1,393,470.25;1,105,626.25;12,834.25
Sep 12, 2015;Sep 13, 2015;1,196,281.25;919,954.00;18,712.00
Sep 13, 2015;Sep 14, 2015;1,093,266.25;865,836.50;19,666.75
Sep 14, 2015;Sep 15, 2015;1,407,604.75;1,118,405.75;17,009.00
Sep 15, 2015;Sep 16, 2015;1,447,300.50;989,880.00;17,929.75
Sep 16, 2015;Sep 17, 2015;1,450,007.50;1,074,862.50;13,254.00
Sep 17, 2015;Sep 18, 2015;1,458,469.00;937,261.00;14,426.00
Sep 18, 2015;Sep 19, 2015;1,400,770.50;1,090,395.75;18,291.00
Sep 19, 2015;Sep 20, 2015;1,186,330.25;992,969.25;17,356.50
Sep 20, 2015;Sep 21, 2015;1,090,959.75;833,764.25;28,098.25
Sep 21, 2015;Sep 22, 2015;1,390,748.50;1,167,724.25;14,838.00
Sep 22, 2015;Sep 23, 2015;1,435,608.00;1,189,401.25;19,338.25
Sep 23, 2015;Sep 24, 2015;1,434,547.00;1,292,352.50;24,378.25
Sep 24, 2015;Sep 25, 2015;1,433,948.25;1,141,677.50;23,230.50
Sep 25, 2015;Sep 26, 2015;1,413,457.25;1,223,246.25;14,561.50
Sep 26, 2015;Sep 27, 2015;1,212,919.75;1,053,675.25;18,516.75
Sep 27, 2015;Sep 28, 2015;1,095,111.00;873,218.50;24,108.00
Sep 28, 2015;Sep 29, 2015;1,407,247.50;1,190,574.00;19,850.00
Sep 29, 2015;Sep 30, 2015;1,446,055.00;1,139,139.50;21,690.00
Sep 30, 2015;Oct 1, 2015;1,439,201.00;1,130,302.00;18,764.00
Oct 1, 2015;Oct 2, 2015;1,411,533.50;1,134,188.25;22,539.50
Oct 2, 2015;Oct 3, 2015;1,387,105.25;1,149,383.00;19,847.50
Oct 3, 2015;Oct 4, 2015;1,103,941.75;904,851.00;15,659.00
Oct 4, 2015;Oct 5, 2015;1,081,326.00;953,724.50;20,305.25
Oct 5, 2015;Oct 6, 2015;1,381,206.50;1,162,614.00;13,251.50
Oct 6, 2015;Oct 7, 2015;1,462,233.25;1,112,893.75;14,460.50
Oct 7, 2015;Oct 8, 2015;1,456,866.00;1,211,089.50;21,893.50
Oct 8, 2015;Oct 9, 2015;1,451,470.00;1,347,252.25;20,678.50
Oct 9, 2015;Oct 10, 2015;1,423,404.50;1,318,873.25;19,590.50
Oct 10, 2015;Oct 11, 2015;1,210,169.50;956,602.75;16,069.00
Oct 11, 2015;Oct 12, 2015;1,111,534.00;675,697.75;29,954.50
Oct 12, 2015;Oct 13, 2015;1,420,595.25;1,074,979.25;23,493.25
Oct 13, 2015;Oct 14, 2015;1,490,625.00;1,311,955.75;16,648.50
Oct 14, 2015;Oct 15, 2015;1,523,737.25;1,366,814.00;22,392.00
Oct 15, 2015;Oct 16, 2015;1,521,378.25;1,334,774.00;22,268.00
